finding_id,track,source_record_id,source_file,journal_volume_issue_year,article_title,author,community_group,page_locator,printed_page_number,supporting_excerpt,source_access,evidence_type,exact_factual_observation,what_source_establishes,what_source_does_not_establish,author_interpretation,alternative_interpretation,response_process,outcome,transferability,article_gap_status,likely_article_destination,confidence,external_verification_needed,notes
F-045,Track A negative result,M-0400,009-survey-of-letters-to-padanaram-settlement-1967-1991-1992.pdf,"Vol. 15, no. 1 (1995)","Survey of Letters to Padanaram Settlement, 1967-1991 /1992",Rachel E. Wright-Summerton,Padanaram Settlement,PDF p. 7; printed p. 126,126,,full text,descriptive survey of incoming correspondence,"Two prospective members disclosed criminal histories in letters: one asked about residing at Padanaram while on parole after a marijuana conviction, and another wrote from jail about a vehicle-theft felony. The article records neither the community’s reply nor any admission or conduct outcome.","Communities received applications involving criminal history, but this source cannot show how screening, risk assessment, conditions, refusal, or reintegration worked.","It does not show that either writer was admitted, dangerous, truthful, rejected, supported, or later successful.",The author categorizes the letters as requests for help or advice and presents representative examples.,The letters may reflect exploratory correspondence rather than serious applications.,No response or decision process is preserved in the article.,Unknown.,High as a negative-result and records-design finding; zero value for judging criminal-history applicants as a class.,F,Membership pipeline / dangerous-person research gap,high,no,DOI: https://doi.org/10.9707/0739-1250.1705
F-046,Track A direct,M-0397,006-dressing-to-please-god-pants-wearing-women-in-mid-nineteenth-century-religious-communities.pdf,"Vol. 15, no. 1 (1995)",Dressing to Please God: Pants-Wearing Women in Mid-Nineteenth-Century Religious Communities,Gayle V. Fischer,Strangite Mormon community on Beaver Island,PDF pp. 18-19; printed pp. 71-72,71-72,,full text,historical secondary synthesis,"Resistance to a required women’s dress was met with public accusations and humiliation, lawsuits against relatives, robbery of homes, and public flogging; one man later involved in the leader’s assassination had been whipped for supporting his wife’s refusal to comply.",A sanction system can drift from safety or religious discipline into coercive conformity and can become entangled with escalating retaliation.,"It does not prove that the whipping caused the assassination, identify every perpetrator, or independently verify all harassment details.",The author suggests the dress mandate may have served the leader’s desire for power and control.,"Polygamy, armed conflict with neighbors, factional politics, and other grievances also drove violence.","Leader-controlled publicity, litigation, public punishment, and informal violence.","The leader was assassinated; most members later evacuated, but causal attribution to the dress conflict is not possible.","Moderate: a warning to define sanction scope, forbid violence, and separate ordinary nonconformity from safety threats.",C,Fair separation / founderism / sanction-drift warning,medium,yes,Do not imply a simple causal chain from punishment to assassination. DOI: https://doi.org/10.9707/0739-1250.1702
F-047,Track B,M-0382,010-culture-collectivism-and-chaos-a-case-study.pdf,"Vol. 14, no. 1 (1994)","Culture, Collectivism and Chaos: A Case Study",Garry Favel,Kibbutz Kadarim,"PDF pp. 15, 18-19, and 24; printed pp. 103, 106-107, and 112","103, 106-107, 112",,full text,participant case study of financial and internal records by a resident accountant,"By December 1992 Kadarim and its entities had over US$12 million in net debt; financial reports had lagged by almost two years. The kibbutz created separate entities and a seven-person board with three outsiders, while the author concludes that external decision-makers are useless without relevant, accurate, timely data.","Outside oversight and formal entity separation only become operative controls when members and reviewers receive timely, decision-relevant financial information.","The single case does not isolate collectivism as the cause of debt, show misconduct, or provide a long-term evaluation of the reforms.","The author links reporting culture, diffuse individual responsibility, and collective decision-making to the crisis and response.","Easy credit, movement guarantees, inflation, state policy, and project economics may explain much of the debt.","More frequent reporting, legal separation of productive branches, outside board members, and use of internal financial data.",Problem branches were closed and management changed; the article does not establish full recovery.,"High for operational finance controls, with caution about generalizing from one kibbutz.",C,Money and land / founder and board controls,medium,no,DOI: https://doi.org/10.9707/0739-1250.1723
F-048,Track A child negative result,,Volumes 9-15 discovery corpus,Volumes 9-15 (1989-1995),Cumulative targeted search and issue-by-issue discovery scan,Research checkpoint,Communal Societies volumes 9-15,113 PDFs; 16 relevant or contextual close reads,,No direct documented case found,full extracted corpus plus direct PDF recovery where extraction was incomplete,systematic bounded search result,"Across all 113 PDFs, child-and-danger searches and complete article triage found children as victims of neglect, medical refusal, punishment, coercive schooling, state intervention, or adult conflict, but no strong case in which a persistently dangerous child was the actor and the source documented allegation, assessment, intervention, review, and later outcome.","The specified dangerous-child evidence pattern is absent from this completed chunk under the recorded vocabulary, proximity checks, and close reads.","It does not prove that no such case exists in later volumes, standalone sources, unindexed archives, different terminology, or communities not covered by the journal.",Not applicable.,"Archival silence may reflect euphemism, nonpublication, classification under medical or juvenile systems, or the journal’s subject priorities.",Not applicable.,Bounded null for volumes 9-15.,High for this chunk; none for the full literature until remaining sources are processed.,F,Research/school function / dangerous-child branch,high,no,"Continue forward without treating children who dissent, misbehave, or are victimized as dangerous actors."
F-049,Track A direct,M-0413,005-the-oneida-community-family.pdf,"Vol. 16, no. 1 (1996)",The Oneida Community Family,Marlyn Klee-Hartzell,Oneida Community,PDF pp. 3 and 7-9; printed pp. 16 and 20-22,"16, 20-22",,full text,historical synthesis using Community records and later scholarship,"The article says John Humphrey Noyes initiated girls into sex and that they thereafter had sexual relations with older men; it describes elders controlling younger members' education, work, social lives, and initial sexual pairings, and later notes that some young women refused sex and sought monogamous families.","Adult and founder authority was embedded in an age- and gender-ordered system of sexual access, and the article identifies no independent check available to the younger members subject to it.","It does not give each girl's age, reconstruct individual consent or injury, establish a modern legal category, or show that every woman experienced the system identically.","The author characterizes Oneida as patriarchal because older people controlled younger people, men dominated women, and the Noyes family held disproportionate authority.",The article also records material and educational advantages that many women valued; those benefits do not answer the authority and choice problem.,Elders set pairing rules and used community criticism and ideological authority; later refusal by some young women is the only direct resistance described here.,"Young-member refusal and demand for monogamy accompanied the communal family's unraveling, which the article also links to Noyes's retirement and failure of succession.","High for non-waivable relationship choice, independent child and young-person advocacy, and founder recusal; historical legal characterization requires separate evidence.",C,Children / non-waivable rights / founderism,high,yes,Describe the documented hierarchy without diagnosing Noyes or assigning unstated ages. DOI: https://doi.org/10.9707/0739-1250.1680
F-050,Track B remedy,M-0416,008-damanhur-a-magical-community-in-italy.pdf,"Vol. 16, no. 1 (1996)",Damanhur: A Magical Community in Italy,Massimo Introvigne,Damanhur,PDF pp. 10-11; printed pp. 79-80,79-80,,full text,contemporary sociological description with legal-process summary,"After former inner-circle and government member Filippo Maria Cerutti left, his compensation demand and Damanhur's valuation were too far apart to settle. He sued, disclosed the secret Underground Temple to a prosecutor, and guided a tax-police raid that exposed zoning, building-permission, and tax issues. Damanhur's criminal libel and slander case against him ended in a not-guilty finding; a court expert's compensation valuation was later near Damanhur's offer.","When internal exit valuation and secrecy failed, courts and external disclosure created an independent evidence and valuation path and exposed regulatory risk hidden from outsiders.","It does not establish Cerutti's motive, the fair final compensation, the ultimate civil judgment, or that every allegation against Damanhur was valid.",The author suggests the unwanted disclosure forced Damanhur into greater dialogue with authorities and the public.,"Cerutti may have used disclosure as bargaining leverage, while authorities later recognized the Temple's artistic value and did not enforce the demolition order.","Failed negotiation was followed by a civil compensation suit, disclosure to a prosecutor, a judicially authorized raid, municipal action, a criminal defamation case, and a court-appointed valuation.","The Temple became public and subject to regulation; the demolition order was not enforced, Cerutti was found not guilty in the defamation case, and the civil matter remained pending in the article.","High for neutral exit valuation, a protected route to regulators, and external evidence preservation; medium for judging the merits of this dispute.",B,Fair separation / money and land / external reporting,medium,yes,The author is broadly sympathetic to Damanhur; verify final judgments and underlying records before naming contested claims. DOI: https://doi.org/10.9707/0739-1250.1683
F-051,Track A source-limited,M-0419,011-review-of-torches-extinguished-memories-of-a-communal-bruderhof-childhood-in-paraguay-europe-and-the-usa.pdf,"Vol. 16, no. 1 (1996)",Review of Torches Extinguished: Memories of a Communal Bruderhof Childhood in Paraguay Europe and the USA,Thomas Mansheim,Bruderhof,PDF pp. 3-4; printed pp. 108-109,108-109,,full text,book review of former-member memoirs by a reviewer with disclosed former-member-network ties,"The review says a 1960 leadership struggle and Hans Zumpe's adultery led to his expulsion, a wider group cleansing, substantial expulsions, and closure of the Paraguay communities. It reports that his attempts to contact his wife were blocked, that his daughter was expelled and denied contact with her mother, and that another expelled member's adult daughter refused parental contact for twelve years before the family rebuilt outside.","The reviewed accounts describe expulsion operating together with enforced or group-shaped family-contact severance, extending the cost of discipline beyond membership and property.","A short review of partisan former-member memoirs does not establish every event, the formal rule behind each separation, the Bruderhof's response, or population-level prevalence.",The reviewer largely supports the memoirists and explicitly discloses participation in the KIT former-member network and more limited contact with current members.,The Bruderhof may describe the separations through different doctrinal or disciplinary facts; closer primary and balanced sources are required.,Expulsion and wider organizational cleansing were followed by blocked spousal and parent-child contact; no independent appeal is described.,The review describes prolonged loss and trauma; one family eventually rebuilt its relationships and life outside the group.,High for forbidding discipline-based family-contact severance and providing independent appeal; low-to-medium for case attribution until corroborated.,C,Fair separation / outside contact / usable exit,low,yes,"Source-limited book-review evidence; seek the memoirs, Bruderhof response, and independent records. DOI: https://doi.org/10.9707/0739-1250.1686"
F-052,Track B structural,M-0437,008-crisis-and-transformation-the-kibbutz-at-the-turn-of-the-century.pdf,"Vol. 17, no. 1 (1997)",Crisis and Transformation: The Kibbutz at the Turn of the Century,Eliezer Ben-Rafael,Kibbutz movement,PDF pp. 16-19 and 23-25; printed pp. 89-92 and 96-98,"89-92, 96-98",,full text,sociological synthesis with a 636-member survey across 26 randomly sampled Takam kibbutzim,The article says the mid-1980s economic crisis strengthened rather than weakened technocrats even though it marked a major failure of economic leadership; unhappy rank-and-file members accepted greater dependence on those expected to lead them out of crisis. It later reports technocrats as the main sponsors and carriers of change with broad cross-stratum support.,A crisis can enlarge the authority and autonomy of the expert layer associated with prior failure because members also depend on that layer for rescue.,"It does not show fraud, malicious capture, a uniform process in every kibbutz, or that professional management was unnecessary.",The author describes a non-total revolution in which managerialism and privatization reshape but do not fully erase partnership and collective ownership.,"Expert authority may have been functionally necessary, and broad member support may reflect informed consent rather than capture.","Boards, managers, outside experts, and decentralized public committees gained authority as assembly participation declined; the article does not describe fixed emergency limits or independent review.",Technocrats gained control over enterprise change while collective ownership and some partnership norms persisted.,"High for time-limited emergency delegation, conflict review, member-visible information, and independent post-crisis evaluation.",B,Founderism / crisis governance / success criteria,high,no,Do not convert professional expertise into evidence of misconduct. DOI: https://doi.org/10.9707/0739-1250.1663
F-053,Track A source-limited,M-0447,018-review-of-mary-s-city-of-david.pdf,"Vol. 17, no. 1 (1997)",Review of Mary's City of David,Timothy Miller,Israelite House of David,PDF p. 3; printed p. 126,126,,full text,book review and brief historical summary,"The reviewer states that founder Benjamin Purnell disappeared after being charged in 1923 with statutory rape of two sisters, was found hiding in 1926, and died just after his 1927 trial; infighting followed and a court divided the property between two factions in 1930.","In this brief account, no internal community remedy is documented; outside criminal process located the founder, and a civil court later resolved factional control of property.","It does not state a conviction or acquittal, give the evidence or trial result, show how the community handled the allegations internally, or establish why the property court chose its division.","The reviewer calls the underlying community-produced book celebratory, opinionated, and sympathetic to the point of hagiography, though valuable as preservation.",A four-page review may compress a legally and factually complex history; disappearance and factional conflict do not themselves prove the charge.,"Criminal charge, search and trial were external; later factional property division was judicial. No internal investigation or protection process appears in the review.","Purnell was found and tried, then died; the property was divided and both factions persisted in diminished form.",Moderate for the need to route founder allegations outside founder control and prewrite asset governance; low for substantive allegation details.,C,Founderism / outside reporting / money and land,low,yes,State only that he was charged and tried; verify primary court history before using the case in prose. DOI: https://doi.org/10.9707/0739-1250.1673
F-054,Track B vulnerable-adult remedy,M-0454,005-pensions-on-the-kibbutz-the-implications-of-the-undermining-of-social-security-for-the-aged-in-communal-societ.pdf,"Vol. 18, no. 1 (1998)",Pensions on the Kibbutz: The Implications of the Undermining of Social Security for the Aged in Communal Societies,John Gal,Kibbutz movement and Beit Oren,PDF pp. 7-11; printed pp. 14-18,14-18,,full text,historical policy analysis with movement records and survey evidence,"Most members mistook collective provident funds for pensions; after withdrawals during crisis, the depleted funds dissolved and merged with commercial-bank funds. At Beit Oren, advisers reportedly told elderly members the kibbutz could not provide for them and advised them to leave, though the wording was disputed. Within five years 43 percent of kibbutzim had joined pension funds and 68 percent of the rest planned to; individual pension rights persisted if a member left.","A pooled communal promise can fail precisely when vulnerable members need it, while portable individual entitlements remain usable across exit and institutional crisis.","It does not show that all elderly members were abandoned, settle the disputed wording at Beit Oren, or compare long-term outcomes under each pension arrangement.","The author argues that aging, economic crisis, and weakened collective values undermined perceived security and made pensions a response to future uncertainty.","The movement continued caring for many elderly members, and individualization can also weaken communal solidarity or distribute market risk.","Public controversy, movement debate, legal-economic advice, and voluntary entry into individual pension funds followed the crisis.","The collective funds disappeared; the Beit Oren episode changed movement debate, and individual pension adoption spread quickly but unevenly.","High for portable vested benefits, transparent benefit language, reserves, and protection of elderly or dependent members on exit.",B,Money and land / fair separation / vulnerable-member security,high,no,Attribute the disputed Beit Oren instruction precisely. DOI: https://doi.org/10.9707/0739-1250.1782
F-055,Track A direct,M-0455,006-so-much-they-have-got-for-their-folly-shaker-apostates-and-the-tale-of-woe.pdf,"Vol. 18, no. 1 (1998)",So Much They Have Got for Their Folly: Shaker Apostates and the Tale of Woe,Elizabeth A. DeWolfe,Shakers,"PDF pp. 4, 7, and 15; printed pp. 23, 26, and 34","23, 26, 34",,full text,archival historical and narrative analysis,"Shakers circulated stories of apostates' later ruin as divine judgment, exchanged legal information, and monitored prominent former member Mary Dyer's movements and activities. The author says the tales' literal truth is not the point and concludes that discrediting apostates caused Shakers to ignore praise and constructive criticism in former-member texts.","Post-exit doom narratives and tracking can turn former-member criticism into proof of disloyalty, strengthen internal cohesion, and disable corrective feedback.","It does not establish that the narrated misfortunes occurred, that all monitoring was unlawful, or that former members' allegations were accurate.",The author argues that ignoring apostate feedback weakened Shakerism even as tales of woe strengthened identity and solidarity.,"Some tracking responded to real litigation and public campaigns, including Dyer's own legal, publishing, and mob activity.",Leaders exchanged reports and legal strategy and circulated cautionary narratives; no neutral channel for evaluating former-member criticism is described.,"Cohesion and prophetic self-confirmation increased, while the author concludes that lost feedback weakened the movement.","High for protected alumni feedback, anti-retaliation, and separating litigation risk from categorical discrediting of leavers.",C,Dissent and external reporting / alumni feedback / founderism,high,no,"Treat reported apostate fates as narratives, not verified outcomes. DOI: https://doi.org/10.9707/0739-1250.1783"
F-056,Track A direct,M-0460,011-the-medium-of-grace-mutual-criticism-in-the-oneida-community.pdf,"Vol. 18, no. 1 (1998)",The Medium of Grace: Mutual Criticism in the Oneida Community,Tara McCarthy,Oneida Community,PDF pp. 4 and 9-12; printed pp. 94 and 99-102,"94, 99-102",,full text,historical synthesis drawing heavily on Oneida publications and memoirs,"Mutual Criticism was usually volunteered but could be mandated in extreme cases. The subject was expected to sit quietly and accept judgment; crying and outbursts were unacceptable. Prospective members had to accept criticism, returning travelers underwent defumigation, and friendliness with outsiders could itself be criticized.",A community-wide grievance and discipline practice can offer broad participation while denying the subject a contemporaneous right of reply and extending conformity control to outside relationships.,"It does not show that every session was coerced, that critics always acted in bad faith, or that retrospective praise from some participants was false.","The author presents Mutual Criticism as a central discipline, spiritual practice, therapeutic mechanism, and source of communal cohesion.","Rotating committees, cautions against grudges, and efforts to balance praise and reproof may have limited some misuse.","A standing or specially chosen committee delivered judgments; the subject was passive, and the article describes no independent appeal or recusal right.","The practice became Oneida's central governance and discipline institution; the article reports fear, dread, humiliation, praise, and loyalty rather than a measured safety outcome.","High for notice, reply, recusal, appeal, outsider-contact protection, and separation of peer reflection from sanctions.",D,Community as therapist / fair separation / dissent safeguards,high,no,The article is interpretively favorable; distinguish its documented procedure from its evaluation. DOI: https://doi.org/10.9707/0739-1250.1788
F-057,Track A health boundary,M-0460,011-the-medium-of-grace-mutual-criticism-in-the-oneida-community.pdf,"Vol. 18, no. 1 (1998)",The Medium of Grace: Mutual Criticism in the Oneida Community,Tara McCarthy,Oneida Community,PDF pp. 13-16; printed pp. 103-106,103-106,,full text,historical synthesis drawing on Oneida health claims and records,"Oneida used Mutual Criticism for minor ailments and serious disease. During an 1863-1864 diphtheria outbreak, several people died before a physician was called; after members said he disrespected Christ, he was dismissed. Noyes rejected doctors and drugs, said he would remain loyal to faith even if half died, and prescribed criticism and ice. The source reports five deaths among sixty cases and no deaths after that regimen began.",A peer-spiritual practice can become a substitute for independent medical care when the same leader controls both doctrine and access to clinicians.,"The sequence does not prove criticism or ice cured diphtheria, establish the counterfactual mortality under medical care, or supply a safe modern treatment model.",The author treats criticism as a therapeutic as well as control mechanism and reports Community members' cure testimony.,"Nineteenth-century medicine was itself limited, and epidemic timing or ordinary recovery may explain the reported decline in deaths.","A physician was called late and then dismissed; leader-directed faith practice replaced him, with no independent medical decision authority described.","Five fatalities were recorded; the Community attributed later survival to criticism and ice, but the source cannot establish causation.",High for non-waivable medical access and independent clinical authority; zero for adopting the historical treatment.,C,Medicine / non-waivable rights / selecting legal couplings,high,yes,Historical health testimony is not clinical efficacy evidence. DOI: https://doi.org/10.9707/0739-1250.1788
F-058,Track A contextual,M-0471,004-taking-shelter-from-the-coming-storm-the-millenial-impulse-of-the-church-universal-and-triumphant-s-royal-teto.pdf,"Vol. 19, no. 1 (1999)",Taking Shelter from the Coming Storm: The Millenial Impulse of the Church Universal and Triumphant's Royal Teton Ranch,Brad Whitsel,Church Universal and Triumphant / Royal Teton Ranch,PDF pp. 3-4 and 17-18; printed pp. 2-3 and 16-17,"2-3, 16-17",,full text,historical and sociological analysis with interviews and group sources,"Nearly one thousand members came to Montana in 1990 after a nuclear-war warning; 600 staff rehearsed and worked sixteen-hour days for months on shelters. When no attack occurred, only a small fraction left and most ranch members interpreted the prayer vigil as having averted disaster. The author describes a closed-information hot-house that quelled dissent; former staff later linked apocalyptic preparation to defections and budget problems.","A closed threat system can absorb disconfirmation, mobilize extreme labor, suppress alternative interpretation, and preserve belief while moving costs into later exit and finances.","It does not establish deliberate deception, quantify all later defections or costs, or show that apocalyptic belief alone caused organizational stress.","The author rejects retrospective psychiatric labels and explains the event through the group's belief system, enemy construction, and information environment.",Members may sincerely have viewed shelter building as prudent and prayer as effective; former staff accounts may overattribute later problems to 1990.,"Leader warning, drills, shelter construction, continuous prayer, and internal reinterpretation followed; no independent forecast review or dissent channel is described.","Most members stayed after the non-event; later defections, staff reduction, and budget problems were reported, with causation partly attributed by former staff.","High for independent risk review, falsifiable triggers, protected dissent, work limits, and post-event audit; not a mental-health diagnosis.",D,Founderism / dissent / success and safety criteria,medium,yes,Do not use psychiatric labels for members; distinguish former-staff attribution from established causation. DOI: https://doi.org/10.9707/0739-1250.1646
F-059,Track A challenge,M-0484,004-communal-groups-social-laboratories-or-places-of-exile.pdf,"Vol. 20, no. 1 (2000)",Communal Groups: Social Laboratories or Places of Exile?,Peter Michael Forster and William James Metcalf,Intentional communities in Australia New Zealand and Findhorn,PDF pp. 5-8; printed pp. 4-7,4-7,,full text,historical synthesis plus participant observation and prior comparative research,"The article reports Australian communards' overwhelming opposition to having unemployed young people imposed on them, participant observation that marginalizing or banishing disruptive members appeared stabilizing at Findhorn, and prior comparative findings linking stricter selection to stability. It also asks whether these same exclusions remove people who supply needed change and lead to stagnation.","Screening and removal can increase stability while a broad disruptive-person category can also exile dissent, political opposition, creativity, or needed correction.","It does not show that the rejected unemployed youth were dangerous, measure the alleged innovation loss, or establish the wider social-awareness hypothesis; the stagnation claim is posed as a possibility.",The authors argue that governments have sometimes used communities to marginalize disruptive people and frame internal exclusion as a stability-versus-change tradeoff.,"Specific screening may protect a community from free-riding or harm, and opposition to imposed placements may reflect capacity rather than prejudice.","Government schemes, community entry refusal, marginalization, and banishment are described; no conduct-specific assessment or appeal process is evaluated.",Strict selection and exclusion correlate with stability in cited studies; effects on creativity and long-term adaptation remain unanswered.,"High for defining harm behaviorally, separating dissent from danger, and auditing exclusions for false positives and lost correction.",D,Membership pipeline / fair separation / safety-proxy warning,medium,yes,Separate documented government programs and correlations from the authors' wider social-control hypotheses. DOI: https://doi.org/10.9707/0739-1250.1614
F-060,Source-method challenge,M-0485,005-analyzing-communal-life-spans-a-dynamic-structural-approach.pdf,"Vol. 20, no. 1 (2000)",Analyzing Communal Life-Spans: A Dynamic Structural Approach,James A. Kitts,Comparative intentional-community samples,PDF pp. 3-5 and 9-10; printed pp. 14-16 and 20-21,"14-16, 20-21",,full text,comparative methodological synthesis and exploratory quantitative study,"Prior work treated longevity as an indicator of a well-functioning group even though commitment mechanisms can promote retention and conformity through renounced outside ties, monitoring, and sanctions. In an exploratory study of 408 American communities, centralization of power was positively related to survival in 1990-1995, while social density reduced survival probability; other structural studies produced context-dependent or reversed results.","Institutional survival is not a safety measure: structures that increase centralization, retention, conformity, or exclusion may prolong a group without measuring autonomy, exploitation, or harm.","The study does not measure abuse or capture, establish causality, or show that centralization is always harmful; its 1990-1995 correlations may not generalize.","The author argues for dynamic models integrating structure, historical context, and individual member choices rather than a universal success criterion.",Centralization can improve coordination and exclusion can address genuine free-riding; short life can also reflect hostile context rather than failure.,No intervention is tested; the article compares measurement models and calls for longitudinal and contextual research.,"Survival correlates varied by structure and period; dense loving bonds were not consistently protective, and some allegedly antisocial entrants were excluded in surviving hippie-era cases.","High as a measurement rule: report safety, autonomy, exit, and correction separately from longevity and cohesion.",D,Success criteria / founderism / membership pipeline,high,no,Do not relabel historically described dropouts as clinically antisocial. DOI: https://doi.org/10.9707/0739-1250.1615
F-061,Track A direct,M-0489,009-the-commune-that-didnt-come-to-town-the-love-israel-family-and-a-small-town-in-idaho.pdf,"Vol. 20, no. 1 (2000)",The Commune That Didn't Come to Town: The Love Israel Family and a Small Town in Idaho,Charles P. LeWarne,Love Israel Family,PDF pp. 12-13; printed pp. 91-92,91-92,,full text,historical case study using interviews and contemporary press,"Two elders and their families challenged Love Israel's domineering personal role; others joined, many left, and allegations and departures became legal wrangling. By winter at least two-thirds of the membership had departed and property was in jeopardy; membership later fell below one hundred amid loss of Seattle property and litigation with departing members.","When no effective internal route can be identified in the source, a leadership challenge may resolve through mass exit, litigation, and asset loss rather than timely review or bounded removal.","It does not state the detailed allegations, establish that the challengers were correct, reconstruct internal meetings, or prove leader conduct alone caused every departure and loss.",The author presents the schism as the decisive internal event that ended the proposed Idaho expansion and transformed the Family.,"Mass exit may reflect factional conflict and strategic choice rather than absence of every internal safeguard; the article's focus is the town controversy, not a full governance history.","Leadership challenge was followed by widening dissent, departures, legal wrangling, and consolidation at another property; no independent internal adjudication is described.","At least two-thirds left, property holdings were jeopardized, membership dropped below one hundred, and the remaining group relocated to the Arlington ranch.","High for a route around the leader, early neutral mediation, protected dissent, and prewritten equity and litigation terms.",C,Founderism / dissent / fair separation / plan the funeral,medium,yes,The source uses the phrase domineering personal role but does not document the underlying conduct in detail. DOI: https://doi.org/10.9707/0739-1250.1619
F-062,Track B external boundary,M-0489,009-the-commune-that-didnt-come-to-town-the-love-israel-family-and-a-small-town-in-idaho.pdf,"Vol. 20, no. 1 (2000)",The Commune That Didn't Come to Town: The Love Israel Family and a Small Town in Idaho,Charles P. LeWarne,Love Israel Family and Grangeville Idaho,PDF pp. 5 and 7-8; printed pp. 84 and 86-87,"84, 86-87",,full text,historical case study using interviews and contemporary press,"Town opponents circulated serious claims, while Seattle officials reportedly considered the Family no problem and a council member criticized the reliance on hearsay. Grangeville created a five-member investigation commission after a tied vote, and the mayor required ordinary compliance with birth and death registration, driver licensing, building code, zoning, and other law.","Evidence-gathering, public disagreement, police referral, and enforcement of ordinary conduct-based law are more reliable external boundaries than categorical cult labels or rumor.","It does not establish that the Family was safe, that every public concern was false, or that the commission completed a rigorous investigation; the issue dissipated before its report mattered.","The author treats the episode as a microcosm of fear, skepticism, tolerance, civic responsibility, investigation, and wait-and-see responses to outsider groups.","Some resident caution may have been reasonable, and sympathetic visitors could also have seen a managed presentation.","Press investigation, public meetings, a split council vote, a temporary commission, police referral, and written regulatory conditions supplied the external response.","The move did not occur, principally as the Family's internal crisis overtook the plan; the town episode ended without establishing the competing claims.",High for conduct-specific external oversight and evidence standards; low for judging the Family's internal safety from this town episode.,B,Selecting legal couplings / external oversight / evidence protocol,medium,no,Do not treat absence of a police problem report as proof of safety. DOI: https://doi.org/10.9707/0739-1250.1619
F-063,Track A insider warning,M-0490,010-just-to-breathe-personal-recollections-of-synanon-founder-chuck-dederich.pdf,"Vol. 20, no. 1 (2000)",Just to Breathe: Personal Recollections of Synanon Founder Chuck Dederich,Ellen Broslovsky,Synanon,"PDF pp. 2, 6, 10, and 13; printed pp. 97, 101, 105, and 108","97, 101, 105, 108",,full text,insider retrospective memoir with an editorial introduction,"The editor says Synanon gave tremendous power to Dederich and handpicked associates and links this to violent actions and radical innovations in 1976-1978. The memoir says he could move the whole community on smoking, exercise, marriage, and alcohol; its norm of breaking group contracts did not extend to contracts held by Dederich. The Berlin branch refused the 1978 alcohol change and still existed when the article appeared; extended Stews used seventy-two-hour sessions with short sleep breaks to break defenses.",A confrontational truth-telling practice did not check the founder when the founder was exempt in practice; geographically separate refusal supplied a concrete counterexample to community-wide compliance.,"The memoir does not independently document each violent action, prove that the Berlin refusal caused its survival, or provide systematic member outcomes.","The author calls the system a benevolent dictatorship, asks why members let Dederich drink and the community collapse, and identifies absolute power as the central failure.","The memoir remains affectionate and retrospective; founder influence also supported abstinence, integration, education, and redistribution, and some policy changes may have been voluntarily welcomed.","The Game and contract-breaking governed peers, but no usable founder override is shown. The Berlin house refused one policy; elsewhere dissent sometimes meant leaving.","The main institution ended after collapse and a later tax case; the Berlin branch survived at the article's date, while the memoir does not isolate causal effects.","High for testing founder exceptions, protecting sleep, separating therapy from governance, and giving branches a lawful refusal or fork path.",D,Founderism / community as therapist / non-waivable rights / forks,medium,yes,"Insider retrospective plus editor framing; verify violence, policy chronology, and Berlin outcome independently before article use. DOI: https://doi.org/10.9707/0739-1250.1620"
F-064,Track A child negative result,,Volumes 16-20 discovery corpus,Volumes 16-20 (1996-2000),Cumulative targeted search and issue-by-issue discovery scan,Research checkpoint,Communal Societies volumes 16-20,88 PDFs; 30 relevant or contextual close reads,,No direct documented case found,full extracted corpus,systematic bounded search result,"Across all 88 PDFs, the dedicated child-and-danger proximity search and complete article triage found children or youth as victims, targets, students, applicants, or subjects of ordinary discipline, but no case in which a persistently dangerous child was the actor and the source documented allegation, assessment, intervention, review, and later outcome.","The specified dangerous-child evidence pattern is absent from this completed chunk under the recorded vocabulary, proximity checks, and close reads.","It does not prove that no such case exists in volumes 21-45, standalone sources, unindexed archives, different terminology, or communities outside the journal.",Not applicable.,"The journal may classify such cases under medicine, schooling, juvenile systems, family privacy, or euphemistic language, and may not publish them at all.",Not applicable.,Bounded null for volumes 16-20.,High for this chunk; none for the full literature until remaining sources are processed.,F,Research/school function / dangerous-child branch,high,no,"Child-victim evidence, ordinary disobedience, rumor about children, and adult danger near child terms were explicitly excluded."
